ranking;project;language;stars;stars_today;forks
1;langgenius dify;TypeScript;63923;369;9437
2;infiniflow ragflow;Python;33263;475;3037
3;unslothai unsloth;Python;24957;505;1698
4;lobehub lobe-chat;TypeScript;54476;299;11698
5;zhayujie chatgpt-on-wechat;Python;33863;102;8706
6;microsoft terminal;C++;96885;145;8447
7;RockChinQ LangBot;Python;6349;158;420
8;songquanpeng one-api;JavaScript;21804;65;4669
9;mendableai firecrawl;TypeScript;24354;329;1988
10;AUTOMATIC1111 stable-diffusion-webui;Python;147243;106;27547
